5,5,0,0
5,15,0,1
5,25,0,2
5,35,0,3
5,45,0,4
5,55,0,5
5,65,0,6
5,75,0,7
5,85,0,8
5,95,0,9
5,105,0,10
5,115,0,11
5,125,0,12
5,135,0,13
5,145,0,14
5,155,0,15
15,5,1,0
15,15,1,1
15,25,1,2
15,35,1,3
15,45,1,4
15,55,1,5
15,65,1,6
15,75,1,7
15,85,1,8
15,95,1,9
15,105,1,10
15,115,1,11
15,125,1,12
15,135,1,13
15,145,1,14
15,155,1,15
25,5,2,0
25,15,2,1
25,25,2,2
25,35,2,3
25,45,2,4
25,55,2,5
25,65,2,6
25,75,2,7
25,85,2,8
25,95,2,9
25,105,2,10
25,115,2,11
25,125,2,12
25,135,2,13
25,145,2,14
25,155,2,15
35,5,3,0
35,15,3,1
35,25,3,2
35,35,3,3
35,45,3,4
35,55,3,5
35,65,3,6
35,75,3,7
35,85,3,8
35,95,3,9
35,105,3,10
35,115,3,11
35,125,3,12
35,135,3,13
35,145,3,14
35,155,3,15
45,5,4,0
45,15,4,1
45,25,4,2
45,35,4,3
45,45,4,4
45,55,4,5
45,65,4,6
45,75,4,7
45,85,4,8
45,95,4,9
45,105,4,10
45,115,4,11
45,125,4,12
45,135,4,13
45,145,4,14
45,155,4,15
55,5,5,0
55,15,5,1
55,25,5,2
55,35,5,3
55,45,5,4
55,55,5,5
55,65,5,6
55,75,5,7
55,85,5,8
55,95,5,9
55,105,5,10
55,115,5,11
55,125,5,12
55,135,5,13
55,145,5,14
55,155,5,15
65,5,6,0
65,15,6,1
65,25,6,2
65,35,6,3
65,45,6,4
65,55,6,5
65,65,6,6
65,75,6,7
65,85,6,8
65,95,6,9
65,105,6,10
65,115,6,11
65,125,6,12
65,135,6,13
65,145,6,14
65,155,6,15
